Canal,Energía (keV),Cuentas
1,11.99,1
2,12.48,1
3,12.96,2
4,13.44,0
5,13.92,0
6,14.41,0
7,14.89,0
8,15.37,2
9,15.86,0
10,16.34,1
11,16.82,11
12,17.31,67
13,17.79,226
14,18.27,275
15,18.75,460
16,19.24,779
17,19.72,1156
18,20.2,1181
19,20.69,859
20,21.17,556
21,21.65,370
22,22.14,285
23,22.62,229
24,23.1,233
25,23.58,251
26,24.07,246
27,24.55,178
28,25.03,241
29,25.52,199
30,26.0,177
31,26.48,182
32,26.97,173
33,27.45,192
34,27.93,173
35,28.41,164
36,28.9,148
37,29.38,161
38,29.86,147
39,30.35,145
40,30.83,176
41,31.31,144
42,31.8,154
43,32.28,144
44,32.76,152
45,33.24,157
46,33.73,150
47,34.21,149
48,34.69,154
49,35.18,145
50,35.66,167
51,36.14,174
52,36.63,149
53,37.11,139
54,37.59,176
55,38.07,156
56,38.56,153
57,39.04,162
58,39.52,177
59,40.01,159
60,40.49,152
61,40.97,160
62,41.46,165
63,41.94,173
64,42.42,167
65,42.9,179
66,43.39,172
67,43.87,161
68,44.35,155
69,44.84,158
70,45.32,187
71,45.8,241
72,46.29,296
73,46.77,225
74,47.25,188
75,47.74,153
76,48.22,176
77,48.7,187
78,49.18,159
79,49.67,152
80,50.15,175
81,50.63,199
82,51.12,173
83,51.6,171
84,52.08,187
85,52.57,198
86,53.05,209
87,53.53,186
88,54.01,198
89,54.5,178
90,54.98,161
91,55.46,178
92,55.95,172
93,56.43,182
94,56.91,196
95,57.4,165
96,57.88,199
97,58.36,195
98,58.84,168
99,59.33,174
100,59.81,161
101,60.29,185
102,60.78,171
103,61.26,184
104,61.74,235
105,62.23,416
106,62.71,591
107,63.19,489
108,63.67,242
109,64.16,186
110,64.64,197
111,65.12,187
112,65.61,206
113,66.09,200
114,66.57,223
115,67.06,180
116,67.54,206
117,68.02,194
118,68.5,215
119,68.99,185
120,69.47,192
121,69.95,181
122,70.44,202
123,70.92,203
124,71.4,177
125,71.89,225
126,72.37,235
127,72.85,213
128,73.33,207
129,73.82,258
130,74.3,260
131,74.78,279
132,75.27,231
133,75.75,214
134,76.23,280
135,76.72,298
136,77.2,249
137,77.68,229
138,78.16,195
139,78.65,220
140,79.13,228
141,79.61,214
142,80.1,224
143,80.58,179
144,81.06,222
145,81.55,194
146,82.03,217
147,82.51,232
148,83.0,229
149,83.48,260
150,83.96,265
151,84.44,226
152,84.93,221
153,85.41,209
154,85.89,208
155,86.38,234
156,86.86,233
157,87.34,236
158,87.83,243
159,88.31,200
160,88.79,237
161,89.27,227
162,89.76,215
163,90.24,188
164,90.72,230
165,91.21,423
166,91.69,567
167,92.17,694
168,92.66,468
169,93.14,254
170,93.62,216
171,94.1,226
172,94.59,238
173,95.07,231
174,95.55,233
175,96.04,188
176,96.52,195
177,97.0,188
178,97.49,222
179,97.97,225
180,98.45,252
181,98.93,229
182,99.42,213
183,99.9,205
184,100.38,204
185,100.87,209
186,101.35,201
187,101.83,239
188,102.32,203
189,102.8,224
190,103.28,199
191,103.76,225
192,104.25,205
193,104.73,234
194,105.21,240
195,105.7,248
196,106.18,223
197,106.66,227
198,107.15,218
199,107.63,217
200,108.11,229
201,108.59,227
202,109.08,213
203,109.56,221
204,110.04,243
205,110.53,232
206,111.01,261
207,111.49,229
208,111.98,262
209,112.46,259
210,112.94,247
211,113.42,246
212,113.91,231
213,114.39,215
214,114.87,240
215,115.36,209
216,115.84,219
217,116.32,198
218,116.81,219
219,117.29,231
220,117.77,238
221,118.26,216
222,118.74,200
223,119.22,193
224,119.7,236
225,120.19,227
226,120.67,219
227,121.15,199
228,121.64,254
229,122.12,242
230,122.6,223
231,123.09,239
232,123.57,211
233,124.05,212
234,124.53,189
235,125.02,230
236,125.5,217
237,125.98,193
238,126.47,215
239,126.95,210
240,127.43,218
241,127.92,214
242,128.4,207
243,128.88,237
244,129.36,198
245,129.85,196
246,130.33,246
247,130.81,202
248,131.3,237
249,131.78,218
250,132.26,225
251,132.75,205
252,133.23,233
253,133.71,233
254,134.19,214
255,134.68,201
256,135.16,190
257,135.64,209
258,136.13,213
259,136.61,195
260,137.09,206
261,137.58,232
262,138.06,213
263,138.54,227
264,139.02,189
265,139.51,192
266,139.99,215
267,140.47,188
268,140.96,189
269,141.44,202
270,141.92,194
271,142.41,234
272,142.89,235
273,143.37,243
274,143.85,214
275,144.34,194
276,144.82,176
277,145.3,197
278,145.79,181
279,146.27,178
280,146.75,190
281,147.24,199
282,147.72,198
283,148.2,228
284,148.68,217
285,149.17,182
286,149.65,187
287,150.13,214
288,150.62,174
289,151.1,202
290,151.58,185
291,152.07,200
292,152.55,204
293,153.03,222
294,153.52,208
295,154.0,175
296,154.48,194
297,154.96,180
298,155.45,160
299,155.93,162
300,156.41,194
301,156.9,197
302,157.38,200
303,157.86,175
304,158.35,176
305,158.83,162
306,159.31,179
307,159.79,206
308,160.28,182
309,160.76,174
310,161.24,190
311,161.73,162
312,162.21,203
313,162.69,195
314,163.18,186
315,163.66,191
316,164.14,167
317,164.62,172
318,165.11,178
319,165.59,152
320,166.07,155
321,166.56,174
322,167.04,172
323,167.52,178
324,168.01,156
325,168.49,174
326,168.97,172
327,169.45,156
328,169.94,148
329,170.42,163
330,170.9,173
331,171.39,163
332,171.87,171
333,172.35,187
334,172.84,178
335,173.32,168
336,173.8,180
337,174.28,169
338,174.77,147
339,175.25,186
340,175.73,149
341,176.22,159
342,176.7,144
343,177.18,154
344,177.67,172
345,178.15,151
346,178.63,168
347,179.11,153
348,179.6,160
349,180.08,148
350,180.56,184
351,181.05,142
352,181.53,151
353,182.01,173
354,182.5,149
355,182.98,167
356,183.46,178
357,183.94,163
358,184.43,233
359,184.91,354
360,185.39,309
361,185.88,202
362,186.36,159
363,186.84,150
364,187.33,131
365,187.81,167
366,188.29,152
367,188.78,128
368,189.26,165
369,189.74,125
370,190.22,143
371,190.71,141
372,191.19,153
373,191.67,149
374,192.16,161
375,192.64,138
376,193.12,150
377,193.61,154
378,194.09,158
379,194.57,140
380,195.05,152
381,195.54,126
382,196.02,123
383,196.5,137
384,196.99,141
385,197.47,159
386,197.95,145
387,198.44,145
388,198.92,123
389,199.4,116
390,199.88,160
391,200.37,143
392,200.85,146
393,201.33,158
394,201.82,136
395,202.3,142
396,202.78,144
397,203.27,142
398,203.75,122
399,204.23,117
400,204.71,161
401,205.2,144
402,205.68,142
403,206.16,141
404,206.65,137
405,207.13,114
406,207.61,117
407,208.1,119
408,208.58,132
409,209.06,123
410,209.54,112
411,210.03,131
412,210.51,129
413,210.99,129
414,211.48,120
415,211.96,134
416,212.44,129
417,212.93,131
418,213.41,109
419,213.89,112
420,214.37,118
421,214.86,141
422,215.34,128
423,215.82,116
424,216.31,125
425,216.79,134
426,217.27,102
427,217.76,136
428,218.24,108
429,218.72,112
430,219.2,115
431,219.69,119
432,220.17,140
433,220.65,124
434,221.14,117
435,221.62,116
436,222.1,124
437,222.59,97
438,223.07,110
439,223.55,127
440,224.04,114
441,224.52,114
442,225.0,115
443,225.48,99
444,225.97,90
445,226.45,111
446,226.93,115
447,227.42,119
448,227.9,119
449,228.38,103
450,228.87,86
451,229.35,101
452,229.83,107
453,230.31,101
454,230.8,109
455,231.28,110
456,231.76,83
457,232.25,121
458,232.73,116
459,233.21,122
460,233.7,104
461,234.18,96
462,234.66,104
463,235.14,90
464,235.63,107
465,236.11,100
466,236.59,104
467,237.08,107
468,237.56,146
469,238.04,159
470,238.53,140
471,239.01,110
472,239.49,112
473,239.97,97
474,240.46,104
475,240.94,110
476,241.42,118
477,241.91,120
478,242.39,104
479,242.87,96
480,243.36,95
481,243.84,91
482,244.32,102
483,244.8,97
484,245.29,98
485,245.77,107
486,246.25,99
487,246.74,99
488,247.22,98
489,247.7,112
490,248.19,108
491,248.67,108
492,249.15,116
493,249.63,95
494,250.12,93
495,250.6,103
496,251.08,98
497,251.57,107
498,252.05,116
499,252.53,101
500,253.02,99
501,253.5,94
502,253.98,93
503,254.46,83
504,254.95,91
505,255.43,85
506,255.91,77
507,256.4,83
508,256.88,96
509,257.36,86
510,257.85,83
511,258.33,112
512,258.81,93
513,259.3,83
514,259.78,84
515,260.26,74
516,260.74,82
517,261.23,78
518,261.71,82
519,262.19,86
520,262.68,79
521,263.16,92
522,263.64,95
523,264.13,83
524,264.61,100
525,265.09,79
526,265.57,81
527,266.06,97
528,266.54,77
529,267.02,96
530,267.51,88
531,267.99,71
532,268.47,85
533,268.96,76
534,269.44,89
535,269.92,78
536,270.4,83
537,270.89,77
538,271.37,85
539,271.85,75
540,272.34,73
541,272.82,99
542,273.3,63
543,273.79,74
544,274.27,88
545,274.75,90
546,275.23,88
547,275.72,84
548,276.2,75
549,276.68,71
550,277.17,87
551,277.65,78
552,278.13,73
553,278.62,74
554,279.1,80
555,279.58,72
556,280.06,70
557,280.55,71
558,281.03,93
559,281.51,81
560,282.0,86
561,282.48,74
562,282.96,85
563,283.45,90
564,283.93,56
565,284.41,80
566,284.89,73
567,285.38,72
568,285.86,78
569,286.34,67
570,286.83,80
571,287.31,44
572,287.79,82
573,288.28,56
574,288.76,74
575,289.24,84
576,289.72,73
577,290.21,62
578,290.69,73
579,291.17,73
580,291.66,77
581,292.14,69
582,292.62,78
583,293.11,58
584,293.59,82
585,294.07,93
586,294.55,97
587,295.04,89
588,295.52,60
589,296.0,71
590,296.49,72
591,296.97,80
592,297.45,79
593,297.94,66
594,298.42,78
595,298.9,56
596,299.39,69
597,299.87,74
598,300.35,58
599,300.83,54
600,301.32,52
601,301.8,74
602,302.28,65
603,302.77,71
604,303.25,72
605,303.73,73
606,304.22,64
607,304.7,58
608,305.18,80
609,305.66,64
610,306.15,58
611,306.63,60
612,307.11,63
613,307.6,67
614,308.08,69
615,308.56,65
616,309.05,46
617,309.53,77
618,310.01,67
619,310.49,66
620,310.98,65
621,311.46,67
622,311.94,86
623,312.43,65
624,312.91,46
625,313.39,69
626,313.88,59
627,314.36,61
628,314.84,63
629,315.32,50
630,315.81,60
631,316.29,59
632,316.77,55
633,317.26,56
634,317.74,73
635,318.22,66
636,318.71,40
637,319.19,68
638,319.67,52
639,320.15,60
640,320.64,56
641,321.12,71
642,321.6,69
643,322.09,63
644,322.57,63
645,323.05,60
646,323.54,76
647,324.02,58
648,324.5,56
649,324.98,59
650,325.47,66
651,325.95,64
652,326.43,72
653,326.92,76
654,327.4,63
655,327.88,73
656,328.37,62
657,328.85,52
658,329.33,50
659,329.81,55
660,330.3,63
661,330.78,53
662,331.26,58
663,331.75,49
664,332.23,60
665,332.71,57
666,333.2,58
667,333.68,62
668,334.16,60
669,334.65,67
670,335.13,54
671,335.61,70
672,336.09,62
673,336.58,61
674,337.06,57
675,337.54,70
676,338.03,63
677,338.51,69
678,338.99,66
679,339.48,61
680,339.96,60
681,340.44,58
682,340.92,55
683,341.41,51
684,341.89,62
685,342.37,50
686,342.86,59
687,343.34,59
688,343.82,60
689,344.31,46
690,344.79,44
691,345.27,64
692,345.75,52
693,346.24,44
694,346.72,58
695,347.2,41
696,347.69,66
697,348.17,56
698,348.65,51
699,349.14,63
700,349.62,54
701,350.1,55
702,350.58,67
703,351.07,79
704,351.55,88
705,352.03,87
706,352.52,49
707,353.0,45
708,353.48,65
709,353.97,56
710,354.45,58
711,354.93,44
712,355.41,48
713,355.9,46
714,356.38,48
715,356.86,46
716,357.35,50
717,357.83,55
718,358.31,52
719,358.8,52
720,359.28,47
721,359.76,47
722,360.24,52
723,360.73,53
724,361.21,48
725,361.69,36
726,362.18,41
727,362.66,57
728,363.14,36
729,363.63,57
730,364.11,46
731,364.59,36
732,365.07,46
733,365.56,57
734,366.04,58
735,366.52,47
736,367.01,40
737,367.49,42
738,367.97,48
739,368.46,44
740,368.94,54
741,369.42,44
742,369.91,40
743,370.39,28
744,370.87,63
745,371.35,34
746,371.84,50
747,372.32,36
748,372.8,48
749,373.29,43
750,373.77,45
751,374.25,53
752,374.74,50
753,375.22,51
754,375.7,47
755,376.18,50
756,376.67,41
757,377.15,43
758,377.63,44
759,378.12,53
760,378.6,51
761,379.08,44
762,379.57,54
763,380.05,44
764,380.53,48
765,381.01,49
766,381.5,44
767,381.98,41
768,382.46,39
769,382.95,42
770,383.43,33
771,383.91,40
772,384.4,37
773,384.88,46
774,385.36,46
775,385.84,37
776,386.33,40
777,386.81,44
778,387.29,46
779,387.78,46
780,388.26,53
781,388.74,50
782,389.23,51
783,389.71,54
784,390.19,37
785,390.67,37
786,391.16,42
787,391.64,45
788,392.12,38
789,392.61,37
790,393.09,37
791,393.57,30
792,394.06,42
793,394.54,39
794,395.02,40
795,395.5,45
796,395.99,42
797,396.47,31
798,396.95,26
799,397.44,36
800,397.92,41
801,398.4,43
802,398.89,37
803,399.37,36
804,399.85,59
805,400.33,45
806,400.82,39
807,401.3,36
808,401.78,44
809,402.27,43
810,402.75,46
811,403.23,33
812,403.72,45
813,404.2,39
814,404.68,38
815,405.17,34
816,405.65,36
817,406.13,35
818,406.61,55
819,407.1,53
820,407.58,31
821,408.06,30
822,408.55,43
823,409.03,41
824,409.51,39
825,410.0,27
826,410.48,31
827,410.96,36
828,411.44,44
829,411.93,40
830,412.41,34
831,412.89,49
832,413.38,32
833,413.86,46
834,414.34,31
835,414.83,34
836,415.31,38
837,415.79,35
838,416.27,39
839,416.76,32
840,417.24,43
841,417.72,41
842,418.21,39
843,418.69,40
844,419.17,27
845,419.66,37
846,420.14,33
847,420.62,46
848,421.1,42
849,421.59,38
850,422.07,34
851,422.55,41
852,423.04,42
853,423.52,29
854,424.0,33
855,424.49,41
856,424.97,28
857,425.45,37
858,425.93,44
859,426.42,42
860,426.9,31
861,427.38,36
862,427.87,37
863,428.35,46
864,428.83,38
865,429.32,35
866,429.8,46
867,430.28,33
868,430.76,27
869,431.25,39
870,431.73,35
871,432.21,46
872,432.7,44
873,433.18,27
874,433.66,30
875,434.15,33
876,434.63,38
877,435.11,35
878,435.59,48
879,436.08,34
880,436.56,32
881,437.04,34
882,437.53,37
883,438.01,28
884,438.49,35
885,438.98,36
886,439.46,22
887,439.94,33
888,440.43,20
889,440.91,42
890,441.39,31
891,441.87,39
892,442.36,38
893,442.84,27
894,443.32,53
895,443.81,34
896,444.29,32
897,444.77,34
898,445.26,38
899,445.74,37
900,446.22,40
901,446.7,35
902,447.19,31
903,447.67,29
904,448.15,31
905,448.64,37
906,449.12,40
907,449.6,41
908,450.09,35
909,450.57,28
910,451.05,33
911,451.53,35
912,452.02,35
913,452.5,31
914,452.98,39
915,453.47,26
916,453.95,30
917,454.43,34
918,454.92,39
919,455.4,43
920,455.88,24
921,456.36,24
922,456.85,26
923,457.33,25
924,457.81,35
925,458.3,36
926,458.78,32
927,459.26,27
928,459.75,28
929,460.23,26
930,460.71,31
931,461.19,39
932,461.68,33
933,462.16,25
934,462.64,27
935,463.13,36
936,463.61,36
937,464.09,30
938,464.58,30
939,465.06,27
940,465.54,34
941,466.02,30
942,466.51,25
943,466.99,33
944,467.47,33
945,467.96,40
946,468.44,44
947,468.92,31
948,469.41,34
949,469.89,35
950,470.37,32
951,470.85,29
952,471.34,37
953,471.82,31
954,472.3,31
955,472.79,39
956,473.27,34
957,473.75,24
958,474.24,25
959,474.72,27
960,475.2,35
961,475.69,33
962,476.17,29
963,476.65,33
964,477.13,32
965,477.62,24
966,478.1,34
967,478.58,32
968,479.07,34
969,479.55,22
970,480.03,37
971,480.52,32
972,481.0,30
973,481.48,19
974,481.96,47
975,482.45,26
976,482.93,26
977,483.41,30
978,483.9,26
979,484.38,30
980,484.86,33
981,485.35,33
982,485.83,26
983,486.31,36
984,486.79,39
985,487.28,35
986,487.76,28
987,488.24,20
988,488.73,22
989,489.21,47
990,489.69,24
991,490.18,29
992,490.66,33
993,491.14,27
994,491.62,28
995,492.11,30
996,492.59,29
997,493.07,24
998,493.56,36
999,494.04,25
1000,494.52,27
1001,495.01,35
1002,495.49,37
1003,495.97,25
1004,496.45,35
1005,496.94,35
1006,497.42,21
1007,497.9,26
1008,498.39,33
1009,498.87,24
1010,499.35,36
1011,499.84,38
1012,500.32,29
1013,500.8,33
1014,501.28,31
1015,501.77,31
1016,502.25,24
1017,502.73,29
1018,503.22,31
1019,503.7,32
1020,504.18,34
1021,504.67,32
1022,505.15,36
1023,505.63,30
1024,506.11,34
1025,506.6,30
1026,507.08,37
1027,507.56,30
1028,508.05,30
1029,508.53,49
1030,509.01,59
1031,509.5,70
1032,509.98,78
1033,510.46,104
1034,510.95,93
1035,511.43,90
1036,511.91,88
1037,512.39,54
1038,512.88,46
1039,513.36,49
1040,513.84,38
1041,514.33,29
1042,514.81,24
1043,515.29,34
1044,515.78,28
1045,516.26,27
1046,516.74,20
1047,517.22,25
1048,517.71,32
1049,518.19,24
1050,518.67,26
1051,519.16,37
1052,519.64,28
1053,520.12,27
1054,520.61,28
1055,521.09,32
1056,521.57,32
1057,522.05,21
1058,522.54,20
1059,523.02,28
1060,523.5,14
1061,523.99,18
1062,524.47,22
1063,524.95,33
1064,525.44,26
1065,525.92,40
1066,526.4,21
1067,526.88,34
1068,527.37,22
1069,527.85,28
1070,528.33,24
1071,528.82,29
1072,529.3,31
1073,529.78,26
1074,530.27,25
1075,530.75,29
1076,531.23,27
1077,531.71,29
1078,532.2,23
1079,532.68,24
1080,533.16,22
1081,533.65,25
1082,534.13,22
1083,534.61,22
1084,535.1,20
1085,535.58,33
1086,536.06,37
1087,536.54,28
1088,537.03,26
1089,537.51,34
1090,537.99,29
1091,538.48,30
1092,538.96,19
1093,539.44,20
1094,539.93,29
1095,540.41,35
1096,540.89,27
1097,541.37,25
1098,541.86,22
1099,542.34,31
1100,542.82,20
1101,543.31,19
1102,543.79,29
1103,544.27,28
1104,544.76,24
1105,545.24,19
1106,545.72,32
1107,546.21,23
1108,546.69,32
1109,547.17,22
1110,547.65,34
1111,548.14,20
1112,548.62,27
1113,549.1,23
1114,549.59,27
1115,550.07,30
1116,550.55,27
1117,551.04,24
1118,551.52,24
1119,552.0,24
1120,552.48,22
1121,552.97,21
1122,553.45,17
1123,553.93,22
1124,554.42,18
1125,554.9,22
1126,555.38,28
1127,555.87,30
1128,556.35,16
1129,556.83,29
1130,557.31,18
1131,557.8,20
1132,558.28,25
1133,558.76,21
1134,559.25,23
1135,559.73,27
1136,560.21,16
1137,560.7,28
1138,561.18,21
1139,561.66,15
1140,562.14,18
1141,562.63,23
1142,563.11,29
1143,563.59,23
1144,564.08,26
1145,564.56,38
1146,565.04,26
1147,565.53,18
1148,566.01,29
1149,566.49,19
1150,566.97,21
1151,567.46,15
1152,567.94,35
1153,568.42,20
1154,568.91,24
1155,569.39,18
1156,569.87,24
1157,570.36,27
1158,570.84,25
1159,571.32,24
1160,571.8,26
1161,572.29,21
1162,572.77,22
1163,573.25,32
1164,573.74,18
1165,574.22,25
1166,574.7,25
1167,575.19,25
1168,575.67,27
1169,576.15,25
1170,576.63,32
1171,577.12,16
1172,577.6,30
1173,578.08,23
1174,578.57,28
1175,579.05,23
1176,579.53,25
1177,580.02,16
1178,580.5,20
1179,580.98,22
1180,581.47,24
1181,581.95,27
1182,582.43,29
1183,582.91,34
1184,583.4,38
1185,583.88,18
1186,584.36,24
1187,584.85,29
1188,585.33,22
1189,585.81,23
1190,586.3,14
1191,586.78,21
1192,587.26,28
1193,587.74,25
1194,588.23,21
1195,588.71,13
1196,589.19,28
1197,589.68,28
1198,590.16,28
1199,590.64,31
1200,591.13,26
1201,591.61,21
1202,592.09,31
1203,592.57,21
1204,593.06,21
1205,593.54,15
1206,594.02,26
1207,594.51,21
1208,594.99,25
1209,595.47,23
1210,595.96,29
1211,596.44,24
1212,596.92,32
1213,597.4,28
1214,597.89,19
1215,598.37,18
1216,598.85,18
1217,599.34,14
1218,599.82,21
1219,600.3,26
1220,600.79,23
1221,601.27,19
1222,601.75,20
1223,602.23,28
1224,602.72,27
1225,603.2,23
1226,603.68,17
1227,604.17,20
1228,604.65,29
1229,605.13,23
1230,605.62,24
1231,606.1,24
1232,606.58,24
1233,607.06,15
1234,607.55,16
1235,608.03,42
1236,608.51,58
1237,609.0,52
1238,609.48,61
1239,609.96,35
1240,610.45,25
1241,610.93,21
1242,611.41,26
1243,611.89,24
1244,612.38,20
1245,612.86,14
1246,613.34,22
1247,613.83,21
1248,614.31,21
1249,614.79,25
1250,615.28,19
1251,615.76,17
1252,616.24,26
1253,616.73,14
1254,617.21,19
1255,617.69,19
1256,618.17,15
1257,618.66,20
1258,619.14,25
1259,619.62,26
1260,620.11,20
1261,620.59,21
1262,621.07,24
1263,621.56,24
1264,622.04,20
1265,622.52,15
1266,623.0,19
1267,623.49,13
1268,623.97,15
1269,624.45,20
1270,624.94,26
1271,625.42,31
1272,625.9,29
1273,626.39,33
1274,626.87,17
1275,627.35,17
1276,627.83,13
1277,628.32,20
1278,628.8,18
1279,629.28,22
1280,629.77,12
1281,630.25,24
1282,630.73,13
1283,631.22,23
1284,631.7,24
1285,632.18,31
1286,632.66,25
1287,633.15,22
1288,633.63,17
1289,634.11,21
1290,634.6,23
1291,635.08,25
1292,635.56,19
1293,636.05,24
1294,636.53,22
1295,637.01,16
1296,637.49,20
1297,637.98,15
1298,638.46,29
1299,638.94,21
1300,639.43,17
1301,639.91,25
1302,640.39,16
1303,640.88,22
1304,641.36,18
1305,641.84,23
1306,642.32,25
1307,642.81,14
1308,643.29,18
1309,643.77,24
1310,644.26,20
1311,644.74,22
1312,645.22,24
1313,645.71,22
1314,646.19,19
1315,646.67,27
1316,647.15,18
1317,647.64,24
1318,648.12,16
1319,648.6,14
1320,649.09,28
1321,649.57,13
1322,650.05,24
1323,650.54,22
1324,651.02,19
1325,651.5,19
1326,651.98,23
1327,652.47,22
1328,652.95,19
1329,653.43,18
1330,653.92,23
1331,654.4,16
1332,654.88,23
1333,655.37,33
1334,655.85,24
1335,656.33,15
1336,656.82,18
1337,657.3,17
1338,657.78,16
1339,658.26,20
1340,658.75,16
1341,659.23,26
1342,659.71,27
1343,660.2,24
1344,660.68,13
1345,661.16,22
1346,661.65,23
1347,662.13,18
1348,662.61,26
1349,663.09,15
1350,663.58,22
1351,664.06,21
1352,664.54,18
1353,665.03,20
1354,665.51,25
1355,665.99,13
1356,666.48,23
1357,666.96,22
1358,667.44,24
1359,667.92,29
1360,668.41,19
1361,668.89,17
1362,669.37,15
1363,669.86,15
1364,670.34,21
1365,670.82,20
1366,671.31,19
1367,671.79,20
1368,672.27,22
1369,672.75,28
1370,673.24,18
1371,673.72,26
1372,674.2,16
1373,674.69,21
1374,675.17,19
1375,675.65,21
1376,676.14,14
1377,676.62,23
1378,677.1,12
1379,677.58,24
1380,678.07,19
1381,678.55,24
1382,679.03,25
1383,679.52,19
1384,680.0,16
1385,680.48,19
1386,680.97,25
1387,681.45,20
1388,681.93,16
1389,682.41,18
1390,682.9,23
1391,683.38,18
1392,683.86,16
1393,684.35,16
1394,684.83,21
1395,685.31,17
1396,685.8,17
1397,686.28,13
1398,686.76,27
1399,687.24,20
1400,687.73,26
1401,688.21,20
1402,688.69,28
1403,689.18,10
1404,689.66,11
